# Cluster: Cluster 9
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 266.91400000000004, -37.036352941176474
ID=10325 261.834 -43.45
ID=10259 256.754 -19.574
ID=10321 271.994 -43.45
ID=10323 266.914 -47.768
ID=10312 256.754 -29.574
ID=10313 261.834 -33.29
ID=10315 266.914 -29.574
ID=10314 266.914 -33.29
ID=10318 277.074 -43.45
ID=10319 277.074 -47.768
ID=10316 271.994 -33.29
ID=10317 277.074 -33.29
ID=10324 261.834 -47.768
ID=10322 266.914 -43.45
ID=10320 271.994 -47.768
ID=10258 266.914 -19.574
ID=10311 256.754 -33.29
