# Cluster: Cluster 0
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 214.32105882352943, -30.39305882352941
ID=4475 236.434 -19.574
ID=4477 216.114 -19.574
ID=4479 195.794 -19.574
ID=4510 205.954 -33.29
ID=4516 226.274 -33.29
ID=4560 205.954 -43.45
ID=4509 200.874 -33.29
ID=4511 205.954 -29.574
ID=4478 205.954 -19.574
ID=4515 221.194 -33.29
ID=4517 226.274 -29.574
ID=4476 226.274 -19.574
ID=4559 211.034 -43.45
ID=4556 216.114 -43.45
ID=4512 211.034 -33.29
ID=4514 216.114 -29.574
ID=4513 216.114 -33.29
